Stationsnummer;Name des Projektionssystems;Rechtswert (lokal);Hochwert (lokal);Projektionssystem gültig ab;Höhe;Höhensystem;Name der hydrologischen Einheit;Einzugsgebietsnummer;Einzugsgebietsname
UR1201-ES738;CH1903+ / LV95;2692388.63;1192535.616;01.01.1950 00:00;484.9;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES739;CH1903+ / LV95;2691842.618;1192412.604;01.01.1950 00:00;468.3;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES740;CH1903+ / LV95;2691548.622;1193159.612;01.01.1950 00:00;450.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES741;CH1903+ / LV95;2691104.605;1192361.592;01.01.1950 00:00;451.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES742;CH1903+ / LV95;2690515.608;1193192.607;01.01.1950 00:00;439.4;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES743;CH1903+ / LV95;2691922.629;1193157.619;01.01.1950 00:00;473;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES744;CH1903+ / LV95;2691526.611;1192266.595;01.01.1950 00:00;460.7;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES745;CH1903+ / LV95;2691240.6;1191649.584;01.01.1950 00:00;454;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES746;CH1903+ / LV95;2691448.607;1192108.591;01.01.1950 00:00;460.2;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES747;CH1903+ / LV95;2690847.602;1192285.594;01.01.1950 00:00;447.2;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES748;CH1903+ / LV95;2690894.609;1192964.6;01.01.1950 00:00;442.1;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES749;CH1903+ / LV95;2691446.618;1193003.607;01.01.1950 00:00;451.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES751;CH1903+ / LV95;2691583.615;1192536.601;01.01.1950 00:00;461.2;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES752;CH1903+ / LV95;2692433.631;1192509.616;01.01.1950 00:00;487.2;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES753;CH1903+ / LV95;2691891.627;1193082.617;01.01.1950 00:00;464.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES754;CH1903+ / LV95;2691720.624;1193063.613;01.01.1950 00:00;445.2;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES755;CH1903+ / LV95;2691866.618;1192335.603;01.01.1950 00:00;470.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES756;CH1903+ / LV95;2691208.618;1193392.61;01.01.1950 00:00;442.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES757;CH1903+ / LV95;2691578.623;1193224.613;01.01.1950 00:00;456.1;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES758;CH1903+ / LV95;2691582.616;1192593.602;01.01.1950 00:00;460;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES759;CH1903+ / LV95;2691607.623;1193189.613;01.01.1950 00:00;452.7;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES760;CH1903+ / LV95;2691752.612;1192034.595;01.01.1950 00:00;469.4;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES761;CH1903+ / LV95;2692297.626;1192367.611;01.01.1950 00:00;485;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES762;CH1903+ / LV95;2691427.609;1192286.594;01.01.1950 00:00;459;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES763;CH1903+ / LV95;2692615.634;1192502.62;01.01.1950 00:00;494.4;Landesnivellementnetz 1902;;104621;Axen
